,city,comments,country,date posted,datetime,duration (hours/min),duration (seconds),latitude,longitude,shape,state
20138,colorado springs,A DISK SHAPPED UFO SIGHTED OUTSIDE COLORADO SPRINGS CHRISTMAS EVE 1972,us,12/12/2011,12/24/1972 02:00,2 minutes,120,38.8338889,-104.8208333,disk,co
20139,tegucigalpa (honduras),I could have reached out and touch the UFO,,12/2/2000,12/24/1974 23:50,15 seconds,15,14.083333,-87.216667,disk,
20140,winters freeway,i lost about 2 to 3 hours  when i drove off i felt sad almost in tears like i lost a dear friend&#44&#44&#44,,12/12/2009,12/24/1975 21:00,2to 3 hours,10800,36.778261,-119.41793200000001,rectangle,ca
20141,jackson,it was xmas eve&#44 we decided to take a different routte when we went through the town phocahuntis... we stopped at this stop sign when t,us,9/13/2002,12/24/1977 00:00,2 min,120,32.2986111,-90.18472220000001,unknown,ms
20142,philadelphia,multi colored,us,5/14/2002,12/24/1977 23:00,20 seconds,20,44.1544444,-75.7091667,oval,ny
20408,rockford,Close encounter experience. 500 Lights On Object0: Yes,us,6/12/2007,12/25/1966 04:00,1 minute plus,60,42.2711111,-89.09388890000001,unknown,il
20409,rogersville,single laser-like red light traced numerous straight-line and angular &#39waypoints&#39 in  Christmas night sky,us,6/20/2011,12/25/1969 21:38,90-120 sec,120,34.8255556,-87.29472220000001,,al
20410,oxnard,big blue fireball very low,us,5/15/2006,12/25/1971 08:00,2 seconds,2,34.1975,-119.1761111,sphere,ca
20411,tampa,Zig Zagging Star Over Tampa Florida,us,6/2/2013,12/25/1975 23:00,5 minutes,300,27.9472222,-82.45861109999998,triangle,fl
20412,winslow,two disks edge on with light on botom flying in formation.,us,2/1/2007,12/25/1976 19:00,3 minutes,180,44.5469444,-69.6216667,disk,me
20413,cabo san lucas (mexico),I witnessed a very large glow in the sky which cannot be attributable to any known aircraft and which descended into the ocean.,,4/17/2008,12/25/1978 21:30,45 sec-90 sec.,45,22.890533,-109.91673700000001,fireball,
20650,forestburg,Round brilliant white object hovered and then slowly descended behind a hill in a remote area without making a noise.,us,4/16/2005,12/26/1961 20:00,one or two minutes,120,33.5330556,-97.5563889,sphere,tx
20651,new britghton,bright light then red blue green lights came on then took off dim lights so fast in south east of state,,2/7/2014,12/26/1975 20:00,8 minutes,480,45.065521,-93.201891,sphere,mn
20954,hammond,Triangle shaped object with flashing lights&#44 Hammond Indiana ( Hessville ) 1966 or 1967,us,10/30/2006,12/28/1966 19:00,one minute,60,41.5833333,-87.5,triangle,in
20955,worcester,We observed a 60-80 ft diameter metalic craft (disk shaped- flat on top)move by us at 70 ft high &amp; 100 yards of dista-nce.,us,2/22/2002,12/28/1977 20:00,15 sec,15,42.2625,-71.80277779999999,disk,ma
21119,whitehorse (canada),Nightime sighting by many witnesses which forced a police car and fire truck off the road,ca,5/12/2009,12/29/1977 02:00,1 hour,3600,60.716667,-135.05,flash,bc
21120,waterloo (south of),light moving oddly in straight line.,us,7/25/2004,12/29/1979 02:00,8 min.?,480,42.4927778,-92.3427778,,ia
21286,bithlo,On the evening of December 30&#44 1967&#44 shortly after dusk&#44 I observed along with two other witnesses&#44 a circular craft&#44 approximately 40,us,6/18/2004,12/30/1967 17:10,approx. 7 hours,25200,28.5544444,-81.1066667,disk,fl
21414,webb,My wife and myself were traveling to a friends house for a new years party. We started from Coffeville Missisippi on State Road 32 via,us,6/18/2004,12/31/1975 19:30,approx 5 mins,300,33.9472222,-90.3441667,disk,ms
21415,lisle,December 31st&#44 1975. It was maybe around 10:30 pm. My husband (noW ex-husband) and I had been working in Westmont. We were headed to hi,us,6/3/2010,12/31/1975 22:30,2 minutes,120,41.8011111,-88.07472220000001,light,il
21416,hopewell,December 31&#44 1978 at 12:30AM - Object hoovered over my parked car for about 10 minutes and was about 100-150 ft above my car. Estimate,us,4/8/2002,12/31/1978 00:30,30 mins,1800,40.3891667,-74.76222220000001,disk,nj
21417,kansas city,Large light blue sphere&#44 made no sound&#44 and no light reflected off of it.,us,4/28/2001,12/31/1979 22:35,2 minutes,120,39.0997222,-94.5783333,circle,mo
21418,spartanburg,UFO IN SC LOOKED JUST LIKE A PLANES FLASHING LIGHTS IN THE NIGHT SKY,us,3/11/2006,12/31/1979 23:00,15minutes,900,34.9494444,-81.93222220000001,circle,sc
21831,gasconade,Colored fog on ground.  Mom wouldn&#39t let me go outside to see what it was.  I am a Nuc. Engr.Sisters &amp; Person not yet born then has see,us,12/16/1999,12/3/1968 02:00,30 minutes,1800,38.6694444,-91.56,unknown,mo
21832,avoca,Stationary bright white light that turned red and appeared to envelope the object once it started to move at a high speed.,us,2/18/2001,12/3/1973 19:00,1 hour,3600,41.4766667,-95.3377778,unknown,ia
21833,milford,Saw five craft  and observed signaling after work.,us,3/2/2004,12/3/1976 15:30,2 hours,7200,41.2222222,-73.0569444,disk,ct
21834,monrovia,after being followed by a ufo&#44 a beam of light shown down on my sister,us,2/16/1999,12/3/1976 23:00,20 min,1200,39.5788889,-86.48222220000001,triangle,in
22160,denver/golden (between),cigar shaped object with colors of orange&#44 blue and green that changed colors in a strobe from orange to blue to green over and over.,,4/27/2004,1/24/1970 20:15,twenty minutes,1200,39.745721,-105.159182,cigar,co
22161,pawtucket,R.I. sphere shaped object  landed on flat top three door garage.  1974 .the beams still show cracks that developed from the weight,us,3/4/2003,1/24/1974 22:00,1 hour,3600,41.8786111,-71.38305559999999,disk,ri
22162,pawtucket,I reported the UFO sighting in Pawtucket R.I.of 1974 that you have on your website.,us,12/12/2009,1/24/1974 24:00,1 hour,3600,41.8786111,-71.38305559999999,disk,ri
22163,hull (uk/england),SMALL OBJECT DARK GREY TO BLACK&#44 APPROX 18 - 24 INCHES ACROSS&#44 ABOUT 12 INCHES IN HEIGHT&#44 WAS STATIONARY AT ABOUT 40 FEET IN THE AIR&#44 S,gb,12/7/2006,12/4/1976 14:00,20 mins,1200,53.716667,-0.333333,egg,
22164,burnley (uk/england),Hi my name is Mark&#44i was nine at the time i saw what now i percieve as a dream and i cannot differenciate as anything other than that b,gb,9/15/2005,12/4/1979 20:00,2 mins,120,53.8,-2.233333,teardrop,
