,city,comments,country,date posted,datetime,duration (hours/min),duration (seconds),latitude,longitude,shape,state
32,houston,Sphere&#44 No lights&#44  moving through neighborhoods above tree tops&#44 over busy streets in Houston in 1980.,us,4/16/2005,10/10/1980 19:00,3 min,180,29.7630556,-95.3630556,sphere,tx
33,dallas,Strange shape shifting craft of pure light energy.,us,10/28/2002,10/10/1980 22:00,5 minutes,300,32.7833333,-96.8,unknown,tx
34,manchester,A red glowing sphere stopped and watched me.,us,11/21/2010,10/10/1980 23:30,3 to 5 min,300,42.9955556,-71.45527779999999,light,nh
35,gisborne (new zealand),gisborne nz 1982 wainui beach to sponge bay,,1/11/2002,10/10/1982 07:00,2min,120,-38.662334,178.017649,disk,
36,houston,2 experience with unkown,us,4/18/2012,10/10/1984 05:00,1 minute,60,29.7630556,-95.3630556,circle,tx
37,traverse city,translucent football seen over city airport,us,10/7/2003,10/10/1984 12:00,couple minutes,120,44.7630556,-85.6205556,other,mi
38,white plains,Saw a hugh object in sky with lights intermittently placed not making any noise traveling north in the night sky.It had no real identif,us,8/10/1999,10/10/1984 22:00,15-20 seconds,20,41.0338889,-73.7633333,formation,ny
39,leeds (uk/england),three light in the sky that led to a big black silent triangle shaped craft.,gb,3/4/2003,10/10/1985 20:25,10min,600,53.8,-1.583333,triangle,
40,holmes/pawling,Football Field Sized Chevron with bright white lights on front&#44 moving slowly with absolutely no sound,,10/8/2007,10/10/1986 20:00,3 minutes,180,41.523427,-73.646795,chevron,ny
41,milwaukee,A silent black triangular object with no lights moved over us as we walked our dog across a school playground.,us,8/7/2007,10/10/1988 18:00,10 minutes,600,43.0388889,-87.90638890000001,triangle,wi
42,new gloucester,I&#39m still afraid to look at the sky at night.,us,1/10/2009,10/10/1988 21:00,few minutes,120,43.9627778,-70.2830556,unknown,me
43,boulder,Three Stars Begin to Move Randomly&#44 Stop&#44 Change Direction&#44 Move Again&#44 And Then Vanish,us,7/16/2006,10/10/1988 22:00,1 minute,60,40.015,-105.27,light,co
44,seattle (ballard area),Two adult witnesses are stunned by the sound of an object that streaks above the home they are in.,us,4/27/2004,10/10/1988 22:45,2 sec.,2,47.6063889,-122.33083329999998,unknown,wa
45,calabasas,Unidentified object on Mulholland Highway.,us,12/14/2004,10/10/1989 00:00,approx 5 min,300,34.1577778,-118.6375,disk,ca
46,centralia,A huge triangularly shaped silent object that blotted out 25 degrees of the sky&#44 lighted by four glowing points.,us,4/27/2004,10/10/1989 21:00,1 minute,60,46.7163889,-122.95305559999998,triangle,wa
47,kranklin,Triangle seen in franklin Ky - october 1989,,5/11/2005,10/10/1989 21:00,3min,180,36.722263,-86.577218,triangle,ky
48,ashburn,Translucent Craft that makes No Sound While Moving,us,10/8/2007,10/10/1990 21:00,2 minutes,120,31.7058333,-83.6533333,triangle,ga
