,city,comments,country,date posted,datetime,duration (hours/min),duration (seconds),latitude,longitude,shape,state
49,frisco,A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30,us,1/28/1999,10/10/1991 22:00,30 minutes,1800,35.235,-75.6288889,unknown,nc
50,harrisburg,We observed 3 triangular shaped high speed objects&#33,us,5/9/2003,10/10/1991 22:00,10 minutes,600,40.2736111,-76.88472220000001,triangle,pa
51,panama city,During a road trip to Panama City a friend and I witnessed a pair of luminous light formations appear and dissappear over the Gulf.,us,1/28/1999,10/10/1992 17:00,1 hour(?),3600,30.1586111,-85.66027779999999,formation,fl
52,stafford,A man emerges from a beam of light that shines on a grassy field at night and he runs towards the Texas Instruments parking lot.,us,4/18/2012,10/10/1992 18:00,10 seconds,10,29.6158333,-95.5575,unknown,tx
53,seymour,Stationary Elongated UFO 200ft above vacant field with city lights on bottom,us,10/31/2008,10/10/1992 20:15,1min. 39s,60,35.8905556,-83.7247222,cigar,tn
54,weatherford,Black or dark grey.  Too big&#44 too low&#44 too slow&#44 too quiet&#44 for a normal aircraft.,us,9/2/2005,10/10/1992 22:00,30 seconds,30,32.7591667,-97.7969444,unknown,tx
55,zlatoust (russia),I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment,,12/14/2004,10/10/1993 03:00,20 minutes,1200,55.183333,59.65,sphere,
56,peoria,Light over Peoria&#44 IL that moves slowly&#44 stops in mid-air&#44 hovers&#44 changes colors&#44 shoots in opposite direction and disappears.,us,10/11/2005,10/10/1993 22:00,8 seconds,8,40.6936111,-89.58888890000001,light,il
57,carthage,1 object with green and red lights,us,3/21/2003,10/10/1993 23:00,less than 1 min,60,36.2522222,-85.9516667,other,tn
58,mercedies,ufo chased by fighter jet over Rio Grande Valley. Seen on news,,12/12/2011,10/10/1994 15:00,1 hour,3600,26.149798,-97.913611,cigar,tx
59,burnt hills,Giant rectangular craft (resembling an upside-down aircraft carrier) over highway near Saratoga&#44 NY.,us,10/23/2013,10/10/1994 18:30,2 minutes,120,42.9097222,-73.8955556,rectangle,ny
60,pinebergen,Round&#44 bright&#44 low flying object silently speeds West of Arkansas town at 11:30pm&#44 10/10/94.,us,2/18/2001,10/10/1994 22:00,5 seconds,5,34.1027778,-91.9922222,light,ar
61,toronto (greater toronto area) (canada),Large rusty sphere,ca,7/3/2013,10/10/1994 23:00,~1 hour,3600,43.666667,-79.416667,sphere,on
62,milwaukee,Man  on Hwy 43 SW of Milwaukee sees large&#44 bright blue light streak by his car&#44 descend&#44 turn&#44 cross road ahead&#44 strobe. Bizarre&#33,us,11/2/1999,10/10/1995 19:45,2 min.,120,43.0388889,-87.90638890000001,,wi
63,oakland,Woman repts.  bright light in NW sky&#44 suddenly approaches her&#44 flies slowly overhead.  Swept wings&#44 2 blurry lights either side.,us,11/2/1999,10/10/1995 22:40,1 minute,60,37.8044444,-122.2697222,,ca
64,higginsville,illuminated triangular craft&#44 flying at high speed from South to North,us,2/16/2000,10/10/1996 03:20,3sec,3,39.0725,-93.7169444,triangle,mo
65,lake macquarie (nsw&#44 australia),RED LIGHT WITH OTHER RED FLASHING LIGHT&#44 ONE OBJECT,,5/24/1999,10/10/1996 20:00,5 min,300,-33.093373,151.58898200000002,light,
66,charleston,Flashing object above Charleston&#44 SC,us,11/26/2003,10/10/1996 22:00,5 min,300,32.7763889,-79.9311111,light,sc
67,monroe county,Looked like it went through the hillside,us,7/8/2004,10/10/1996 22:30,1 minute,60,39.4402778,-84.3622222,cylinder,oh
68,connersville,3 differants types &#44 cluster &#44delta &#44 and one in a 3 pointed star design . followed it for six miles .,us,1/28/1999,10/10/1997 16:00,4 hours,14400,39.6411111,-85.14111109999999,delta,in
69,mesa,A small dark purple quad-thruster craft hovering 200-300 feet in the sky. 500 Lights On Object0: Yes,us,2/14/2008,10/10/1997 17:00,30 seconds,30,33.4222222,-111.8219444,sphere,az
70,bonaire,Triangular Object Sighted at Very Close Range,us,2/1/2007,10/10/1997 20:00,<5 minutes,300,32.5436111,-83.59611109999999,triangle,ga
71,austin,i was traveling northbound on state highway 105 approximately 8 miles south of Austin MN when an object came down directly above my car,us,1/28/1999,10/10/1997 21:00,1-hour,3600,43.6666667,-92.9744444,other,mn
72,hollywood,I was standing outside on Sunset Blvd. at Vine and looked straight up which I normally do not do. I saw three bright white lights in a,us,11/1/1998,10/10/1998 02:30,5 minutes,300,34.0983333,-118.32583329999999,changing,ca
73,phoenix (north part),bright green moving north to north east. it was bright green and kinda clear. quite fast too.,us,2/16/1999,10/10/1998 03:30,10 to 15 sec,15,33.4483333,-112.07333329999999,fireball,az
74,elgin,While looking up at sky I noticed a bright light hovering above the sky. then I noticed a jet airliner traveling in the same area and I,us,11/1/1998,10/10/1998 13:15,30 +/- min,1800,42.0372222,-88.28111109999999,cylinder,il
75,las vegas,White&#44 vertical cigar shape floating around in the eastern sky.,us,11/1/1998,10/10/1998 17:30,10 minutes,600,36.175,-115.1363889,cigar,nv
76,las vegas,Ufo sighting in las vegas near Area51,us,8/30/1999,10/10/1998 17:30,45min.,2700,36.175,-115.1363889,circle,nv
77,nyc/westchester area,Lights over NYC,,10/30/2006,10/10/1998 20:30,< 1 min,60,40.935998,-73.901708,triangle,ny
78,spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),Dark boomerange object seen for ten minutes hovering over the freeway with a bright light out the front that lit up the fields. No jet,us,8/5/2001,10/10/1998 20:30,10 minutes,600,47.6588889,-117.425,triangle,wa
79,mooresville,Star gazing in back yard with telescope and binos. Saw shooting star and an oblong shape of light.,us,11/1/1998,10/10/1998 20:50,2 seconds,2,35.5847222,-80.8102778,light,nc
80,st. john&#39s (canada),Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.,ca,12/2/2000,10/10/1998 22:30,2 hours,7200,47.55,-52.666667000000004,egg,nf
81,delano,I came home from work one night and I seen a bright fire like ball go across the top ofthe mountain and it was going fast then it stopp,us,3/21/2003,10/10/1998 23:50,15 seconds,15,35.265,-84.55333329999999,fireball,tn
82,martinez,Bright objects&#44 red and green flashing lights (and a diffuse white light off to one side of the larger of the two objects)&#44 about 30 de,us,10/19/1999,10/10/1999 00:01,1 hour,3600,38.0194444,-122.13305559999999,changing,ca
83,kansas city,Orange object over city.,us,10/19/1999,10/10/1999 04:00,5-10 min.,600,39.1141667,-94.6272222,unknown,ks
84,dallas,group of   twinkling lights at high altitude,us,11/20/2001,10/10/1999 06:00,10 seconds,10,32.7833333,-96.8,other,tx
85,san diego,At 10:45 in the morning&#44 my father and I noticed a small stationary object in the sky.,us,10/19/1999,10/10/1999 11:00,1 hour,3600,32.7152778,-117.1563889,fireball,ca
86,kennewick,Standing outside saying goodby to family members and pointing to Chem-Trails,us,10/19/1999,10/10/1999 12:40,45 secs,45,46.2113889,-119.13611110000001,sphere,wa
87,hayward,Many different colored glowing  objects,us,11/20/2001,10/10/1999 20:35,60-90 sec,90,37.6688889,-122.0797222,circle,ca
88,rachel,Bright lights with incredible agility seen from mailbox at Area 51 on UFO highway in Nevada for several hourse.,us,5/24/2005,10/10/1999 21:00,3 hours,10800,37.6447222,-115.7427778,light,nv
89,humphrey,Object moving erratically in sky stopped by spot light,us,2/14/2006,10/10/1999 21:30,5 min,300,41.6916667,-97.4841667,sphere,ne
90,casey key (north end of),A large trianglual shaped craft flew from horizon to horizon as observed from the stern deck of a motor vessel,,9/19/2002,10/10/1999 22:30,several minutes,120,27.150053,-82.480653,triangle,fl
91,elgin,Object silently traveled north -northwest. It was V shaped with five orange lights on the perimeter and one white ligh in the center of,us,10/19/1999,10/10/1999 22:30,4 minutes,240,45.565,-117.9163889,chevron,or
92,lewiston,Oval shaped with lights all around it in a haze with several smaller lights flying all around it.,us,10/19/1999,10/10/1999 23:45,45 minutes,2700,44.8838889,-84.3055556,oval,mi
285,alice springs  (nt&#44 australia),Being  of light reported&#44Jesus or another messenger&#33,au,1/19/2005,10/11/1986 20:30,20 seconds,20,-23.697479,133.883621,,
286,minnetonka,White light moves west to east&#44 suddenly stops&#44 then moves south at a high rate of speed.,us,10/14/2013,10/11/1987 21:30,30 seconds,30,44.9133333,-93.5030556,light,mn
287,otto,bright blue ball of light.,us,8/19/2000,10/11/1987 23:59,60 seconds,60,38.3708333,-90.50027779999999,fireball,mo
288,kewanee,HBCCUFO CANADIAN REPORT:  Large glowing sphere was positioned almost directly overhead.,us,10/15/2003,10/11/1989 21:00,2 to 3 minutes,180,41.2455556,-89.9247222,sphere,il
289,kewanee,Reddish-orange sphere seen outside Kewanee&#44 IL,us,7/26/2002,10/11/1989 21:00,5 minutes,300,41.2455556,-89.9247222,sphere,il
290,albuquerque,Six Spheres of light move into my vision over the 92 Albuquerque Balloon Fiesta&#44then vanish straight up.,us,3/6/2001,10/11/1992 10:00,15 minutes,900,35.0844444,-106.65055559999999,sphere,nm
291,jackson,triangle UFO in jackson NJ  Countyline 526   over the old fire station next to the trailer park,us,1/29/2002,10/11/1994 02:00,5mins,300,39.7763889,-74.86277779999999,triangle,nj
292,riverside,Double white lights in chevron shape flying north to south about the size of the constellation of the Pleades&#44 covered half the sky in,us,1/28/1999,10/11/1994 04:00,4 seconds,4,33.9533333,-117.39527779999999,chevron,ca
293,new york city (brooklyn),Young man&#44 mother witness watch strange red obj. 45 deg. above horizon w/ binocular.  Obj. suddenly fades&#44 disappears from sight.,us,11/2/1999,10/11/1995 18:30,12 min.,720,40.7141667,-74.0063889,,ny
294,huntington,Young man &amp; grandfather see a &quot;large&#44 orange&#44 round or oval&quot; obj. move along horizon very fast&#44 hover&#44 move erratically.  Bizarre&#33,us,11/2/1999,10/11/1995 20:00,2 min.,120,38.4191667,-82.4452778,,wv
295,damascus,1996 SIGHTING IN DAMASCUS&#44 VA. WHILE CAMPING IN THE CHEROKEE NATIONAL FOREST.,us,9/24/2003,10/11/1996 22:00,60 sec.,60,36.6336111,-81.78388890000001,light,va
296,hafnarfjordur (iceland),playing with a jet,,6/12/2008,10/11/1997 22:00,5 min,300,64.066667,-21.95,sphere,
297,montara,Boomerang shaped lit up at the neds and center of the boomerang.,us,11/1/1998,10/11/1998 02:15,1 hour,3600,37.5422222,-122.515,other,ca
298,vega baja (puerto rico),I went out and saw this cigar shaped object&#44 high above&#44 about where the sun would be at 12 o&#39clock. I stared at it trying to identify,us,11/1/1998,10/11/1998 14:05,2 minutes,120,18.4463889,-66.3880556,cigar,pr
299,mount carmel,Bright shiny object splits in two and disappears above horizon.,us,11/1/1998,10/11/1998 14:30,10 seconds,10,36.5452778,-82.66111109999999,light,tn
300,highland,Spherical.  Red&#44 yellow&#44 and green lights.  Below clouds&#44 yet very high up.,us,11/1/1998,10/11/1998 20:30,4 hrs +,14400,39.7944444,-87.39583329999999,sphere,in
301,bar harbor (bar island crossover),My friend Steven and I were crossing over to Bar Island at low tide when we witnesses a green spherical object crossing the sky at a gr,us,11/1/1998,10/11/1998 22:40,30 seconds,30,44.3875,-68.2044444,sphere,me
302,elk grove,Greenish blue fireball streaking across horizon,us,11/1/1998,10/11/1998 22:45,4 seconds,4,38.4088889,-121.37055559999999,fireball,ca
303,montgomery,Bright light coming from back yard and a surreal sensation of forboding.,us,3/21/2003,10/11/1999 00:15,3 minutes,180,32.3666667,-86.3,light,al
304,los angeles,It was a large bright light sitting stationary in the sky. Within our atmosphere. Not a star. It did not move or change shape and was t,us,10/19/1999,10/11/1999 04:30,5min,300,34.0522222,-118.2427778,light,ca
305,somerset?,Huge pulsating red light over I-94.  High overhead&#44 moving east,,10/19/1999,10/11/1999 06:10,2 minutes,120,45.124411,-92.673537,unknown,wi
306,three rivers,While dirving to work this monday morning the 11th of October I spotted two jets flying toward the horizion. Becouse of the rising sun,us,10/19/1999,10/11/1999 07:40,10minuets,600,41.9438889,-85.6325,oval,mi
307,canby,i saw bright light come out of clouds&#44 2 aircraft came from behind and appeared to shot at the light&#44 light went back into the clouds,us,10/19/1999,10/11/1999 09:10,10 seconds,10,45.2630556,-122.69138889999999,light,or
308,parry sound (near) (canada),A silvery disk shaped object&#44 flew over an aircraft&#44 then disappeared.,ca,4/22/2003,10/11/1999 18:00,6 seconds,6,45.333333,-80.033333,disk,on
309,portville,The object was just below the tree line. The object was light up by a yellowish light with blue lights.You could see the windows in it,us,10/19/1999,10/11/1999 20:15,30 seconds,30,42.0386111,-78.34111109999999,oval,ny
310,portville,Was oval shaped had different colored lights all the way around the center of the object. The top was yellowish with windows with light,us,10/19/1999,10/11/1999 20:15,30 seconds,30,42.0386111,-78.34111109999999,oval,ny
311,portville,it was a beautiful oval shaped object that had huge windows lite with every color you can imagine.  we saw this object to the left of t,us,10/19/1999,10/11/1999 20:15,1 minute,60,42.0386111,-78.34111109999999,oval,ny
312,portville,oval shaped with colorful lights all around with huge windows lite up very colorful most beautiful thing in the sky. in valley area it,us,10/19/1999,10/11/1999 20:15,1 minute,60,42.0386111,-78.34111109999999,oval,ny
313,kirbyville (due south of),About 2030 cst I noticed what apeared to be a &quot;tumbler&quot; a flashing satellite. After observing for approx.10 min. I realized that the ob,us,10/19/1999,10/11/1999 20:35,1.5hours,5400,36.6230556,-93.1638889,other,mo
314,winnemucca,oblong&#44 extremely large and  bright object in sky&#44 going behind mountains. Object much larger than a meteorite.,us,10/19/1999,10/11/1999 21:00,seconds,2,40.9730556,-117.73472220000001,cigar,nv
315,ashland,I was looking into the sky towards the high east watching what appeared to be a passenger jet cross the sky when my periphial vision ca,us,10/19/1999,10/11/1999 21:10,30-45 sec.,45,42.1947222,-122.70833329999999,triangle,or
316,augusta,Object was at 45 degrees above southern horizon. Being stationary for 5 mins. and then executed some right angle maneuvers. Focal dista,us,11/9/1999,10/11/1999 21:30,10 mins,600,37.6866667,-96.9763889,light,ks
317,montgomery,Pinpoint of light travelled from east to west breifly then hovered for about an hour then disappeared.,us,10/19/1999,10/11/1999 21:30,1hrs,3600,30.3880556,-95.6961111,light,tx
318,eureka springs,Bright light due south&#44 traveling east extremely slowly. Bright flash given off from object every 10 seconds&#44 with a dim flash every 3,us,11/2/1999,10/11/1999 21:45,15 min.,900,36.4011111,-93.73777779999999,light,ar
319,parker&#39s lake,Flashing lights sighted out of my window,,10/19/1999,10/11/1999 22:15,10-15 min,900,37.704344,-88.426757,disk,ky
320,addison (i-355 and us 20 (lake st.),Saucer shaped object&#44with rows of red lights on bottom side; one white lighttop and bottom,us,11/9/1999,10/11/1999 22:30,10 min,600,41.9316667,-87.9888889,disk,il
552,fremont,A heavy rain night off work and was amazed how heavy it was raining&#44 awake and looking out thru my skylight. Suddenly bright overwhelmi,us,8/5/2001,10/1/1980 01:30,30 seconds,30,37.5483333,-121.9875,other,ca
553,mountainboro,Ball of Fire that changed into a cone shape.,us,7/4/2012,10/1/1980 20:00,20 seconds,20,34.1469444,-86.1305556,fireball,al
554,shirleysburg,Sometime during the late 1970-s and early 1980&#8217;s&#44 I can&#8217;t remember the time of the year.   I was in my home in rural Shirleysburg&#44 PA.,us,5/13/2012,10/1/1980 21:00,10 minutes,600,40.2977778,-77.8744444,formation,pa
555,jersey city,Blimp shaped object with extremely bright lights hovered then rapidly dashed into the night&#39s sky.,us,10/20/2005,10/1/1980 22:00,2-3 minutes,180,40.7280556,-74.0780556,cigar,nj
556,hesperia,Two people in car see green oval object and lost time,us,1/10/2009,10/1/1981 20:00,40 minutes,2400,43.5688889,-86.03944440000001,oval,mi
557,mt. sterling,Close up view of UFO after unexplained loss of time. 500 Lights On Object0: Yes,,8/5/2012,10/1/1981 20:00,one hour or more,2400,38.056468,-83.943256,disk,ky
558,swartz creek,blazing sphere across the southern sky from 1982,us,3/21/2003,10/1/1982 22:10,3 to 4 minutes,240,42.9572222,-83.8305556,fireball,mi
559,birmingham (uk/england),Firstly&#44 I was stunned and stared at the object for what seemed minutes&#44 but probably was only seconds. My first inclination was to bec,gb,4/12/2013,10/1/1983 17:00,31 years,97836000,52.466667,-1.916667,sphere,
560,ayer,Zero to top Speed Instantaneously,us,5/12/2009,10/1/1983 20:00,20 seconds,20,42.5611111,-71.5902778,unknown,ma
561,elizabeth township,My friend and I saw eight oval crafts with lights performing very unusal manuvers,,5/15/2006,10/1/1983 20:30,12minutes,720,40.256648,-79.81846800000001,oval,pa
562,tarboro,it was as large as our house...and silent enough no one inside heard a thing...nor did i,us,9/9/2003,10/1/1983 21:00,3 minutes,180,35.8966667,-77.53611109999999,disk,nc
563,waldport,Bright light of a  fast moving craft frightened me in the night on the Oregon Coast.,us,3/16/2001,10/1/1984 01:00,10 minutes,600,44.4269444,-124.0675,light,or
564,chatsworth,Light approaches at high rate of speed and makes a ninety degree turn.,us,2/24/2007,10/1/1984 20:00,45 seconds,45,34.2572222,-118.60027779999999,light,ca
565,acton,Silent&#44 very large&#44 one white headlight&#44 red lights around edges,us,4/2/1999,10/1/1984 21:00,3 min.,180,43.5341667,-70.91027779999999,triangle,me
566,brandon,triangle SHIP 60 to 80 feet high&#44SPEED 3 TO 5 MPH&#44I SAW IT ALL&#44....................,us,2/24/2007,10/1/1985 00:00,15 min,900,27.9375,-82.28611109999999,triangle,fl
567,holton,Unknown light makes 90 degree turn and disappears.,us,5/11/2005,10/1/1985 05:30,3-4 minutes,240,43.4133333,-86.0794444,light,mi
568,monroe,Years ago&#44 my husband&#39s aunt and I witnessed something very strange on the way to work early one morning. It was about 5:30am and we we,us,11/28/2007,10/1/1985 05:30,5 min,300,34.9852778,-80.5497222,sphere,nc
569,jefferson,Three lights&#44possibly single or part of object hovered over treeline changing color&#44and shape.,us,12/2/2000,10/1/1985 21:30,1 hour,3600,41.7386111,-80.77,triangle,oh
570,santa margarita/atascadero (between&#44 hwy 101),we were driving north on hwy 101 from san luis obispo to atascadero&#44 when from the west came a &quot;ufo&quot; traveling east&#44 passing over the h,,6/23/1999,10/1/1985 21:30,2 &#33/2  min.,120,35.423335,-120.618785,other,ca
571,lawrence,Red Light seen in Lawrence&#44 Kansas&#44 during Johnny Carson&#39s Monologue,us,1/10/2009,10/1/1985 22:45,< 5 minutes,300,38.9716667,-95.235,sphere,ks
572,klamath falls,BRIGHT OBJECT DROPPING &quot;FIRECRACKERS&quot; FROM IT - IT SEEMED TO KNOW I COULD SEE IT - VANISHED IN A TYPE OF EXPLOSION,us,4/27/2004,10/1/1986 01:00,45 minutes,2700,42.225,-121.78055559999999,circle,or
573,n. ridgeville,Black triangular craft with green lights hovering over the tree tops,,12/16/2005,10/1/1986 22:00,5 minutes,300,41.389491,-82.019032,triangle,oh
574,wheeling,Missing time after seeing something that looked like the Northern lights.,us,1/11/2002,10/1/1986 22:00,10 seconds,10,40.0638889,-80.72111109999999,light,wv
575,west palm beach,An &quot;out of the body&quot; experience,us,2/18/2001,10/1/1987 01:00,one hour,10,26.7052778,-80.0366667,,fl
576,victoria (canada),Large red and orange sphere&#44 balanced on a rock in 1987.,ca,10/30/2006,10/1/1987 19:00,15mins,900,46.216667,-63.483332999999995,sphere,bc
577,roseburg (7 miles northwest of),Two small glowing oval orange objects and one larger triangle craft in rural Oregon.,us,10/31/2008,10/1/1987 20:00,30 mins.,1800,43.2166667,-123.34055559999999,oval,or
578,alstead,sitting   in  a  car in a open  field&#44 keeping in mind this is in a  town where  we are in  the hills.  the  field during  the day has,us,1/19/2005,10/1/1987 21:00,30 mins.,1800,43.1488889,-72.36111109999999,fireball,nh
579,louisburg,Large black triangular object with lights on each side and at the points making no discernible noise.,us,8/5/2001,10/1/1987 23:00,3 minutes,180,36.0988889,-78.3013889,triangle,nc
580,mackay,LARGE SAUCER,us,2/14/2010,10/1/1989 16:00,2 to 3 min,180,43.9147222,-113.6125,disk,id
581,winchester (near),3 starlike objects land on 1 large orange oval object in full daylight in sight of dozens of witnesses.,us,3/11/2006,10/1/1989 18:00,5 minutes,300,37.99,-84.1797222,oval,ky
582,jacksonville,Three gold circle UFOs fly in formation&#44 warp drive away and disappear.,us,11/21/2010,10/1/1989 20:00,five minutes,300,39.7338889,-90.22888890000002,circle,il
583,pawling,Large oval craft with lights above house on north side of Route 55 between Pawling and Freedom Plains&#44 NY&#44 late 1980&#39s.,us,5/11/2005,10/1/1989 20:00,5 minutes,300,41.5619444,-73.6030556,oval,ny
584,carmichael,Black rectangular craft over carmichael.,us,7/25/2004,10/1/1989 21:30,10sec.,10,38.6172222,-121.32722220000001,rectangle,ca
585,orono,Silent Lo-flying Craft with Dome and Bright White Lights,us,11/26/2003,10/1/1989 21:30,15-20 seconds,20,44.8830556,-68.6725,disk,me
586,pateros,One Gray metal oval disc&#44 aporx. 10&#39x50&#39&#44 clear sky&#44  1 qaurter mile away,us,3/11/2006,10/1/1990 17:00,05min,300,48.0511111,-119.90222220000001,oval,wa
587,san pedro,a small light in the sky&#44 making the shape of a equiangular triangle then shooting away at a high rate of speed.,us,1/19/2005,10/1/1990 20:00,2min,120,33.7358333,-118.2913889,light,ca
588,jamestown,A row of porthole shaped lights hovering at an altitude of approx. 500 feet spanning a distance of about 1 mile.,us,4/27/2007,10/1/1990 22:15,20 minutes,1200,42.0969444,-79.2355556,light,ny
589,easley,Hockey-puck-shaped-thing.,us,2/22/2002,10/1/1991 14:45,fifteen minutes,900,34.8297222,-82.6016667,other,sc
590,wilmington,Patterned disks over southern california sky.,us,2/14/2008,10/1/1991 17:00,15 minutes,900,33.78,-118.2616667,circle,ca
591,maryville,Silver&#44 cigar shaped object north of downtown Maryville&#44 TN in or around 1991,us,9/24/2012,10/1/1991 18:00,5 minutes,300,35.7563889,-83.9705556,cigar,tn
592,little rock,Triangular arrangements of lights appearing to begin to land on freeway&#44 miltary-ish cars mobilze around it,us,8/5/2012,10/1/1991 18:30,5 minutes,300,34.7463889,-92.28944440000001,triangle,ar
593,mckenzie,I saw a saucer shaped obiect with blue&#44 red&#44 green flashing lights on the way home from college.,us,3/31/2008,10/1/1991 20:30,15 minutes,900,36.1325,-88.51861109999999,disk,tn
594,las vegas,For seven years I have kept this fairly quiet. I was walking my dog on a clear dark night where I live on the north west side of Las Ve,us,1/28/1999,10/1/1991 21:30,5 seconds,5,36.175,-115.1363889,cigar,nv
595,lafayette,A small globe descended from beneath the larger craft.,us,1/17/2004,10/1/1991 22:00,15 min.,900,34.7047222,-85.2819444,other,ga
596,echo summit (sierra at tahoe ski area),This was an object that could hover stationary and then accelerate to 2&#44000 mph or possibly much higher... it would move instantaneousl,,1/22/2000,10/1/1992 01:30,90 seconds,90,38.812963,-120.03018300000001,sphere,ca
597,dublin (near warner robins),While driving home from out-of-town&#44 I watched a dot in the sky that later hoovered over my car.,us,11/20/2002,10/1/1992 17:30,20 minutes,1200,32.5402778,-82.90388890000001,triangle,ga
598,springfield,MISSOURI INVESTIGATORS GROUP Report:  We saw a large football shaped object hovering above an apartment complex .,us,12/12/2009,10/1/1992 18:00,90 seconds,90,37.2152778,-93.2980556,egg,mo
599,longview,I observed one nite several objects flying in a kind of oval formation and change to a vee formation. There wasn&#39t any sound.,us,11/9/1999,10/1/1992 19:00,00:20,20,32.5005556,-94.74027779999999,unknown,tx
600,tempe,My friend and I saw a triangle made of smaller triangles fly over us at a low altitude.,us,1/28/1999,10/1/1993 02:00,15 minutes,900,33.4147222,-111.9086111,triangle,az
601,delaware,Lights in localized semi-rural area&#44 beams emitted&#44 possible sound&#44 possible contact&#44 video tape,us,2/14/2008,10/1/1993 20:00,2 hours,7200,40.2986111,-83.0680556,light,oh
602,pryor,Floating Light&#44 Like a Spotlight,us,11/3/2005,10/1/1993 20:00,20-30 minutes,1800,45.4297222,-108.5325,light,mt
603,pawnee,It was triangle shape with white lights at each corner of it and a large red one in the middle.,us,4/26/1999,10/1/1994 11:30,20 min,1200,36.3377778,-96.8036111,triangle,ok
604,new york city,a flying colorful disc above my car&#44 near Erie.  ((NUFORC Note:  Possible hoax??  PD)),us,6/12/2007,10/1/1994 13:13,15 seconds,15,40.7141667,-74.0063889,disk,ny
605,tylertown/mccomb (between; on hwy. 98 ),orange molten-metal&#44 crescent-shaped object paralleling car for 15 - 20 minutes,,6/12/2008,10/1/1994 17:00,20 minutes,1200,31.243787,-90.453153,changing,ms
606,chicopee,Chicopee State Park&#44 Craft seemed to be shooting balls of light or breaking up,us,12/16/2005,10/1/1994 20:00,5 minutes,300,42.1486111,-72.6083333,changing,ma
607,santa barbara,Black triangle,us,10/12/2001,10/1/1994 20:00,3 seconds,3,34.4208333,-119.69722220000001,triangle,ca
608,warsaw,Triangle shaped object hovering above the water.,us,11/28/2007,10/1/1994 21:00,10 minutes,600,38.2430556,-93.3816667,cigar,mo
609,las vegas,Bright green object in flight allmost colided with my aircraft.,us,10/15/2002,10/1/1994 23:00,5 seconds,5,36.175,-115.1363889,circle,nv
610,fredericksburg,I was driving by on the road and seen this saucer &#44 it was ON the ground near a house. I stopped down the road and got out to get a clo,us,11/20/2002,10/1/1994 23:30,5minutes,300,40.4436111,-76.4286111,disk,pa
