,city,comments,country,date posted,datetime,duration (hours/min),duration (seconds),latitude,longitude,shape,state
0,san marcos,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,us,4/27/2004,10/10/1949 20:30,45 minutes,2700,29.8830556,-97.94111109999999,cylinder,tx
1,lackland afb,1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.,,12/16/2005,10/10/1949 21:00,1-2 hrs,7200,29.38421,-98.581082,light,tx
2,chester (uk/england),Green/Orange circular disc over Chester&#44 England,gb,1/21/2008,10/10/1955 17:00,20 seconds,20,53.2,-2.916667,circle,
3,edna,My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home,us,1/17/2004,10/10/1956 21:00,1/2 hour,20,28.9783333,-96.64583329999999,circle,tx
479,pikeville,SEVENTY SOME  FLYING DISK OBSERVED IN  1950,us,4/16/2005,10/1/1950 11:00,hr,600,37.4791667,-82.51888890000001,disk,ky
480,fukuoka (japan),UFO seen by multiple U. S. military personnel; F-86 intercept.,,12/7/2006,10/1/1952 03:30,about 20 mins,1200,33.590355,130.401716,disk,
481,kansas city,1952 daylight sighting of multiple discs in formation,us,10/31/2008,10/1/1952 12:00,90 sec.,90,39.0997222,-94.5783333,disk,mo
482,flatwoods,I saw the craft go across the horizon.  It appeared to be on fire&#44 I first thought it was a plane going down.  It landed near a farm.,us,4/12/2013,10/1/1954 19:00,1 minute,60,38.7230556,-80.65,circle,wv
483,mono lake (area),NO KNOWN AIRCRAFT (1955 and maybe today) COULD MAKE SUCH A SPEEDY 360 DEGREE CIRCLE MANUVER&#44 WITH NO SOUND &#33,,3/19/2009,10/1/1955 22:00,five seconds+/-,5,38.007059,-119.01225900000001,circle,ca
484,newport,Disk with glass center section&#44 and flames behind the glass,us,4/16/2005,10/1/1956 19:00,5 minutes,300,43.3652778,-72.17388890000001,rectangle,nh
485,nelchina (near),This incident occurred about October of 1956 or &#8216;57. At the time&#44 I was Assistant station manager for a major airline in Anchorage as,us,12/7/2006,10/1/1957 16:00,3 minutes maximum,180,61.9919444,-146.76861110000002,unknown,ak
486,paterson,Formation of approximately 8 light gray metallic disks silently crossing the night sky around October 1957 in northern NJ,us,4/16/2005,10/1/1957 21:00,10 seconds,10,40.9166667,-74.17222220000001,disk,nj
487,northeast cape afs,Radar sighting and filming,,1/28/1999,10/1/1957 22:00,10-15min,900,70.292489,-161.903334,,ak
488,jacksonville,Late 1959&#44 bright lights from a hovering object of unknown shape making a zed-zid zed-zid electrical sound.,us,4/16/2005,10/1/1959 19:00,1 minute,60,39.7338889,-90.22888890000002,unknown,il
1704,eklutna,Two men approached by a cigar-shaped object in the night sky.,us,2/18/2001,10/15/1936 17:00,3 minutes.,180,61.4580556,-149.3622222,cigar,ak
1705,owensboro,Low-flying silver object seen on a clear day near mid-day.,us,4/18/2012,10/15/1943 11:00,30 mins.,1800,37.7741667,-87.1133333,rectangle,ky
1706,baltimore,It was around 8:PM and I was walking home&#44it was a full moon but something made me lookup&#44 there was no noise&#44 but an object came in fr,us,3/4/2008,10/15/1949 20:00,2-3 minutes,180,39.2902778,-76.6125,cigar,md
1707,sandy hook/highlands,Triangles over New York Harbor 1950,,10/30/2006,10/15/1950 15:00,5 minutes,300,40.443164,-73.989861,triangle,nj
1708,richland,Night sighting of seven large luminous UFOs flying in &quot;V&quot; formation,us,11/21/2010,10/15/1952 21:00,5 seconds,5,46.2858333,-119.28333329999998,circle,wa
1709,edmonton (southwest of) (canada),Good evening folks---What I am about to discribe is what I saw back in 1952&#44in an area that is about 75 to 80 miles southwest of the ci,ca,1/17/2004,10/15/1952 24:00,approx. 2 min.,120,53.55,-113.5,cylinder,ab
1710,mauriceville,My father was a WWW1 Vet. and loved hunting. The year was round 1953.We lived in a town of 300 people in southeast tex. Dad would take,us,11/4/2002,10/15/1953 14:00,5 min.,300,30.2033333,-93.8661111,disk,tx
1711,blanco,We saw a silver football&#44 motionless in the sky; stopped &#44 looked about 3-5 mins. and resumed the trip.,us,4/27/2004,10/15/1954 16:30,3-5 mins,300,30.0977778,-98.42111109999999,other,tx
1712,manistee,Saucer shaped&#44 moved north to south directly above the street&#44 no sound&#44 moon was to the east,us,1/21/2008,10/15/1954 21:30,8 seconds,8,44.2444444,-86.3241667,circle,mi
1713,rhinebeck,This very distant star-like point of light came very slowly up over the treeline from the Southwest&#44 stopped.,us,7/19/2010,10/15/1955 20:00,40 minutes,2400,41.9266667,-73.91305559999999,light,ny
1714,mechra bel ksire (morocco),Air Defense radar reflected an object with great speed and maneuverability east of Giralter north of the African coast initially headin,,4/16/2005,10/15/1956 01:00,approx. 5 minutes,300,34.56,-5.95,unknown,
1715,mt. vernon,Clear night observation of lumenescent object leaving a trail from east to north.,,7/11/2000,10/15/1956 21:30,7 to 8 seconds,8,37.932266,-87.895027,disk,in
1716,new york city (queens),tall unidentified being enters home - N.Y.C. 1957,us,3/21/2003,10/15/1957 02:00,2x3 hrs,10800,40.7141667,-74.0063889,,ny
1717,houston (ellington afb),5 to 6&quot; diameter light&#44 extremely fast&#44 silent&#44 made an impossible inside 45 degree turn&#44 and sped away horizontally.,us,9/17/2000,10/15/1957 20:30,3 seconds,3,29.7630556,-95.3630556,light,tx
1718,commerce city (n. of denver),A lot of methane gas in area,us,9/19/2002,10/15/1957 22:00,10 min.,600,39.8083333,-104.93333329999999,fireball,co
1719,marysville,UFO  Over  Golf Course,us,4/27/2007,10/15/1959 00:00,1:15,75,48.0519444,-122.1758333,other,wa
2280,four states,MYSTERIOUS RED LIGHTS  IN NORTHERN WEST VIRGINIA,us,3/31/2008,10/16/1959 22:30,10 minutes,600,39.4797222,-80.31,sphere,wv
3088,st. paul,A dull-orange craft sped southbound at low altitude and high speed toward the general direction of the airport.,us,3/16/2000,10/20/1958 21:00,2 seconds,2,44.9444444,-93.0930556,other,mn
4428,terrebonne,Piercing&#44 shrill tone.,us,8/5/2012,10/25/1958 20:00,1-2 minutes,120,44.3530556,-121.17666670000001,unknown,or
5413,riverside,Chicago suburbs&#44 strange lights and figures; close contact with figures. 500 Lights On Object0: Yes,us,4/27/2007,10/30/1958 01:00,10 minutes (?),600,41.835,-87.8227778,light,il
5636,new orleans,20+ ovals flying over New Orleans,us,9/2/2005,10/31/1953 19:00,seconds,2,29.9544444,-90.075,oval,la
6020,stanley (near) (canada),This is a true story as given to me,ca,4/16/2005,10/3/1955 06:00,2 hours,7200,55.416667,-104.55,disk,nb
6414,st. paul,A bright light was apparently chased by several military jets.,us,3/16/2000,10/5/1957 19:00,45 secs,45,44.9444444,-93.0930556,light,mn
7200,west covina,Brilliant green meteor heading north west from view in California near L.A.,us,1/22/2004,10/9/1955 18:00,4 sec,4,34.09,-117.88944440000002,,ca
7407,conroe,The date was early 1947 before Arnold&#39s &quot;flying saucers&quot;.  I was ten years old&#44 ridding in the front seat of our car next to the passan,us,4/16/2005,1/10/1947 20:00,3 to4 sec.,4,30.3116667,-95.4558333,other,tx
7408,south san francisco,Its was approximately 6:30pm&#44 I was sitting in frontroom watching TV&#44 when screen showed sometype of interference.  I looked out the wi,us,4/27/2004,1/10/1959 18:30,2 minutes,120,37.6547222,-122.40666670000002,disk,ca
7627,teaneck,Cylinder UFO followed by disc seen in fall of 1957 over northern New Jersey,us,2/24/2005,11/10/1957 17:00,2 minutes,120,40.8975,-74.01638890000001,cylinder,nj
7628,corpus christi,UFO over Corpus Christi near naval yard on November 10&#44 1957,us,10/31/2003,11/10/1957 19:00,10 minutes,600,27.8002778,-97.39611109999998,light,tx
7863,wien (austria),The oldest professional photo of a UFO object is from Wien observatory&#44 in 1906&#33,,12/23/2002,11/11/1906 00:00,3 h,10800,48.208174,16.373819,other,
7864,starke,UFO OVER JACKSONVILLE,us,11/11/2003,11/11/1959 20:00,30min,1800,29.9438889,-82.11,sphere,fl
8080,denver,I was approximately 12 years old when I saw this UFO.  I haven&#39t told a lot of people about it.  I thought because I was so young at th,us,8/5/2001,11/1/1954 18:30,10 seconds,10,39.7391667,-104.98416670000002,fireball,co
8840,cicero,Triangular formation passing over head just west of Chicago&#44 Illinois.,us,1/21/2008,11/13/1953 20:00,2 minutes,120,41.8455556,-87.7538889,other,il
9045,thelma (south of),11/14/1954   WHILE HUNTING OBJECT CIRCLED&#44 LANDED AND THEN TOOK OFF STRAIGHT OUT OF SIGHT.,us,9/2/2005,11/14/1954 01:00,5 minutes,300,31.5830556,-96.6108333,disk,tx
9273,holloman afb,What I saw was reported in the Albuquerque newspaper as a &quot;green fireball&quot;.  It streaked across the proving grounds at a very low eleva,,3/21/2003,11/15/1951 06:00,10sec,10,32.8525,-106.106389,circle,nm
9274,keansburg,In November&#44 1953&#44 at 0300&#44 a silvery sphere moves slowly overhead&#44 changes direction&#44 and disappears over the horizon.,us,8/12/2001,11/15/1953 03:00,9 minutes,540,40.4416667,-74.13027779999999,circle,nj
9275,aberdeen,Traveled south to north at a slow speed&#44(90deg. of arc in two min). Size of a half dollar coin at arms length&#44 had a neon orange glow.,us,8/5/2001,11/15/1956 18:30,2:00,120,45.4647222,-98.48611109999999,circle,sd
9276,greenville,Five small disk or spherical-shaped objects merging with a large saucer-shaped object observed by three whitnesses in 1958.,us,4/16/2005,11/15/1958 22:30,ax. 10 min.,600,41.8711111,-71.5525,disk,ri
9277,lafayette,Observed white object for about 20 minutes in Nov. 1959 which approached and then flew away.,us,4/16/2005,11/15/1959 01:30,30 min,1800,40.4166667,-86.87527779999999,circle,in
10580,kirksville (near),Historical sighting (1903 - 1913) Northern Missouri,us,9/15/2005,1/1/1910 24:00,minutes,120,40.1947222,-92.5830556,disk,mo
10813,san diego,A sighting of one silver or white enlongated cylindrical or cigar shaped craft without any visual control surfaces heading west to east,us,7/25/2004,1/1/1944 12:00,3 minutes,180,32.7152778,-117.1563889,cigar,ca
10814,manama (bahrain),Slow  moving circular craft&#44 15 whitnesses&#44 took 5 mins to pass&#44 could be touched.,,3/19/2009,1/1/1947 17:00,5 minutes,300,26.216667,50.583333,circle,
10815,oklahoma/texas border,Copper cigar-shaped object in early 1950&#39s.,,3/31/2008,1/1/1953 14:00,5 minutes,300,33.660135,-97.715556,cigar,tx
10816,nebraska (rural),This is an account told to me by my mother that happened in the early 50&#39s. I was 4-5 years old and don&#39t remember. She said we were tr,,4/16/2005,1/1/1953 24:00,10 min,600,41.492537,-99.901813,,ne
10817,souix city,1954 Radar sighting&#44 Air Force base in Iowa - 50000 - 80000 feet 1&#44200 - 1&#44800 miles per hour.,,4/16/2005,1/1/1954 22:00,30 seconds,30,42.499994,-96.400307,circle,ia
10818,weirton,My Uncle Sam was driving to work very early one winter morning.  He lived down the street from my house.  As he approached my home in h,us,1/7/2000,1/1/1956 05:30,10 seconds,10,40.4188889,-80.58972220000001,disk,wv
10819,dallas,I was flying the first of 4 USAF aircraft on a simulated bombing run on a bridge span in Dallas&#44 Texas.  The other 3 aircraft were behi,us,8/24/2004,1/1/1957 21:00,20 seconds,20,32.7833333,-96.8,unknown,tx
10820,pep,Green fire balls&#44 Texas Panhandle&#44 late 1950&#39s.,us,12/12/2009,1/1/1958 22:00,2sec,2,33.8161111,-102.5577778,fireball,tx
11718,pendleton (2-2 1/2 mi. se of),On a moonless&#44 star-lit night&#44  greenish-orange light moves rapidly and silently  about the dark sky while being pursued by a jet.,us,11/8/2003,11/21/1953 22:30,2 1/2- 3 min.,180,39.9975,-85.7466667,disk,in
12856,lackland air force base near aviation cadet barracks,When I was in preflight for pilot training at Lackland AFB just before Xmas we were standing in formation for reveille we all saw a sau,,12/2/2000,11/25/1953 04:25,3 minutes,180,31.968599,-99.901813,disk,tx
12857,milwaukee,3 disk shaped lights swerving among each other across sky&#44 got to North&#44 shot straight into the stars,us,12/12/2011,11/25/1958 23:00,10 seconds,10,43.0388889,-87.90638890000001,disk,wi
14639,yokahama (japan),The Flying Object over Yocohama Japan after WWII in 1947,,2/14/2006,1/15/1947 10:00,30 minutes,1800,35.443708,139.638026,disk,
