,city,comments,country,date posted,datetime,duration (hours/min),duration (seconds),latitude,longitude,shape,state
15889,fiji islands (s. pacific ocean),Crew contingents of 2 USN vessels see reconnaissance plane fly into something invisible to witnesses.,,8/11/2004,1/18/1943 07:15,10 sec.,10,-18,178.0,,
16651,palm springs,01/20/51     Palm Springs CA     light     hour and a half     bluish-white light of worm-like shape        04/09/06,us,5/15/2006,1/20/1951 04:30,one and a half hours,3,33.8302778,-116.54444440000002,cigar,ca
16652,birchy bay (canada),i couldn&#39t believe what i saw&#44 it was like being in a movie&#44 i still can&#39t believe such an experience.,ca,2/24/2005,1/20/1958 22:43,3min,180,49.333333,-54.733332999999995,disk,nf
17223,crewe (uk/england),This was in the city&#44 I caught a movement over my shoulder and saw a very low black object going north.  It appeared to be floating and,gb,3/19/2002,12/1/1951 19:00,15seconds,15,53.1,-2.433333,cigar,
17224,columbus,A &quot;V&quot;  shape set of lights either on one large&#44 silent aircraft&#44 or 5 different aircraft flying in formation. No noise heard.,us,7/3/2013,12/1/1956 23:00,3-4 minutes,240,39.9611111,-82.99888890000001,formation,oh
17644,sharpsburg,Small UFO at 100&#39&#44  airspeed less than 20mph&#44 absolutely silent&#44  saw crew&#44 normal&#44 white uniforms.,us,3/19/2009,12/12/1948 23:30,3 minutes,180,39.4575,-77.7491667,circle,md
17645,half moon bay,3 blips on a military radar screen flew off the radar screen when military aircraft  approached them.,us,6/12/2008,12/12/1950 22:00,10 minutes,600,37.4636111,-122.4275,other,ca
18199,roswell,Sphere in Roswell. Were aliens looking for thier dead ?,us,12/23/2002,12/15/1945 02:00,1 minute,60,33.3941667,-104.5225,sphere,nm
18200,red bank,Bright orange light&#44 about the size of a pea at arms length&#44 moving slowly from the west to NE.  I was a soldier&#44 stationed at Ft. Monm,us,8/19/2000,12/15/1954 23:10,3-5 min.,300,40.3469444,-74.0647222,circle,nj
18459,yucaipa,Luminous oval over Yucaipa&#44 similar object reported by L.A. newspapers over Inyokern Air Base,us,11/28/2007,12/16/1954 16:50,1:10,70,34.0336111,-117.04222220000001,oval,ca
19046,new york city,good and true info. 500 Lights On Object0: Yes,us,4/27/2007,1/2/1950 00:00,15min,900,40.7141667,-74.0063889,oval,ny
19220,los angeles,Silent&#44 Extreme Bright White Disc of Light&#44 approx. 100 foot diameter Hovered approx. 10 minutes then &quot;Switched Off&quot;.  Small white ligh,us,9/12/1999,12/20/1959 18:30,10 minutes,600,34.0522222,-118.2427778,disk,ca
20134,whitmore lake,Dec. 24&#44 1947 cigar shaped lighted object above the trees near Ann Arbor&#44 Michigan,us,6/12/2008,12/24/1947 21:00,20 min.,1200,42.4394444,-83.7438889,cigar,mi
20407,yokohama (japan),This is a follow-on to the report I made several years ago.  An article about the Brazilian Air Force carried an artist image:  It is t,,8/24/2010,12/25/1946 13:00,20 minutes,1200,35.443708,139.638026,disk,
20951,atkinson (6 miles north of),Young boy witnesses disc in sky above Illinois farmland in December 1925.,us,5/11/2005,12/28/1925 18:00,1 minute,60,41.4208333,-90.015,disk,il
20952,madison,My mother and i worked as telephone swithcboard operators.Dec. 28?&#441957 YOUR BOX DATE WONT TAKE THE DATE I PUT IN.I was in College. We,us,9/2/2005,12/28/1957 00:00,1 hour,3600,43.0730556,-89.4011111,cigar,wi
20953,madison,My mother and i worked as telephone swithcboard operators. I was in College. We worked from 4pm-12 midnight. I went and got the car and,us,6/18/2004,12/28/1957 00:00,1 hour,3600,43.0730556,-89.4011111,cigar,wi
21284,camp mccoy (enroute to),1951-2 winter sighting,,1/10/2009,12/30/1952 12:00,30 minutes,1800,44.009855,-90.683212,cylinder,wi
21285,tehachapi,White fireball hitting ground.,us,2/21/2014,12/30/1959 18:35,30 seconds,30,35.1322222,-118.44805559999999,fireball,ca
22826,chicago,Radar siting near Chicago- Dec. 1952. Object moved about 10 miles per second.,us,2/18/2001,12/6/1952 19:00,45 sec.,45,41.85,-87.65,other,il
25169,new york city (brooklyn),Huge round silver disk hovering over neighbors house&#44 writing on disk and roaring fire from disk,us,3/4/2008,1/8/1946 02:00,5 min,300,40.7141667,-74.0063889,disk,ny
25500,binghamton,1952 UFO  disk outside Binghamton&#44 NY  Girls&#39 Club stops for a look at teenage females,us,4/16/2005,2/10/1952 21:00,10-15 minutes,900,42.0986111,-75.9183333,disk,ny
25809,merced,Three luminescent chartreusse spheres moving &quot;in trail&quot; in a wide arc (34 mi) across the Valley sky.,us,10/11/2005,2/1/1946 17:00,10 seconds,10,37.3022222,-120.48194440000002,sphere,ca
25810,fairbanks,RADAR INTERCEPT OF UFO BY USAF PILOT IN ALASKA 1954.,us,1/10/2009,2/1/1954 02:00,19 min.,1140,64.8377778,-147.7163889,unknown,ak
26550,holyoke (6-8 miles southwest of),In the winter of 1931&#44 I saw a flying machine (UFO) as I was riding on a horse in the draw of a pasture.,us,6/18/2004,2/15/1931 14:00,1minute,60,40.5844444,-102.3019444,oval,co
26551,los angeles,I was only 8yrs old but I remember it clearly. While at my grandmother&#39s house&#44 my mother sent me to our car to get a sweater for her.,us,4/9/2004,2/15/1951 11:00,45min.,2700,34.0522222,-118.2427778,disk,ca
26552,burney,Observance of one large and two smaller UFOs in a comparitive prolonged period of time.,us,4/18/2014,2/15/1954 19:30,15-30 minute,1800,40.8825,-121.6597222,disk,ca
26553,new york city (brooklyn),TWO BRIGHT STAR SHAPE OBJECTS AT 700PM GOING FROM SOUTH SKI TO THE NORTH AT HIGH  SPEEDS NO SOUND,us,1/10/2009,2/15/1955 19:00,5 minutes,300,40.7141667,-74.0063889,light,ny
26554,welwyn garden city (uk/england),2 orange lights like fireball stayed together quit low for 10 mins then one shot off so fast i could not beleive it,gb,2/14/2010,2/15/1955 21:55,20 mins,1200,51.8,-0.2,fireball,
26555,howell,Large glowing object that seemed to be  landing&#33&#33,us,3/19/2002,2/15/1958 02:30,30 to  45 sec.,45,42.6072222,-83.92944440000001,cigar,mi
27013,nellis afb (las vegas),We are dealing with something very real.,,10/27/2004,2/17/1952 18:00,30 mins,1800,36.241416,-115.050807,disk,nv
27448,syracuse,1947-Chance observation of night sky reveals many UFO&#39s traversing upper atmosphere....,us,8/16/2002,2/20/1947 22:15,one hour +,360,43.0480556,-76.1477778,disk,ny
29103,thompsonville,A golden-orange glowing bowl&#44 flat on top&#44 2 ft in dia hovered overhead for about 30 sec. then was gone in a streak without  a sound,us,7/25/2004,2/3/1951 22:00,30 seconds,30,41.9969444,-72.5994444,disk,ct
30544,petaluma,Objects were several thousand feet in altitude and bounced around the sky basically overhead.  I was 17 years old at the time.  The Pet,us,1/28/1999,3/1/1956 13:00,30 minutes,1800,38.2325,-122.63555559999999,oval,ca
31444,alice,An extremely noisy disc.,us,5/2/2003,3/15/1946 15:30,20 secs.,20,27.7519444,-98.0694444,disk,tx
31445,espanola (canada),Large silvery cigar shaped craft was seen by a 10 year old in Northern Ontario&#44 Canada in 1951.,ca,2/12/2004,3/15/1951 10:30,15 seconds,15,46.25,-81.766667,cigar,on
31446,los angeles,I was 11 years old and my family and I were at a kite flying contest in a park . About 7 silver saucer shaped ships hovered over the pa,us,9/2/2005,3/15/1957 13:00,15 mins,900,34.0522222,-118.2427778,formation,ca
31447,los angeles,There were about 5-7 saucers&#44 gray color in a V shape form&#44 a mass sighting of about 200 or more people.,us,4/16/2005,3/15/1957 15:00,15 mins,900,34.0522222,-118.2427778,disk,ca
32459,bowie,Unusual object seen from different viewpoints.,us,5/13/2003,3/20/1956 20:00,15 min.,900,39.0066667,-76.7794444,disk,md
32961,hampton,Commuting home from work during an ice storm I encountered a UFO.,us,5/10/2004,3/22/1956 17:30,minutes,120,44.6102778,-93.0019444,sphere,mn
34742,jena,Heading S. in my car on two lane highway entering Jena LA saw UFO&#39s to the S.E. many cars stopped to abserve,us,1/28/1999,3/5/1957 19:30,15min.,900,31.6830556,-92.1336111,sphere,la
35074,fort devans,I was on duty at base. Saw and heard craft.About 50 feet over building.Sound changed when moveing from low to high pitch.,,1/28/1999,3/7/1957 04:00,15 min.,900,42.537222,-71.61555600000001,oval,ma
35615,seattle,UFO Hovers over Seattle sky,us,4/27/2004,4/10/1949 15:00,ten minutes,600,47.6063889,-122.33083329999998,disk,wa
35616,chariton,&quot; Flying Wing Before It&#39s Time &quot;,us,6/4/2004,4/10/1953 13:00,10 min,600,41.0138889,-93.3063889,other,ia
35978,pacific ocean,April&#44 1945 I saw a disc over our ship&#44 all day as we neard Okinawa.,,4/16/2005,4/1/1945 10:00,all day,86400,-8.783195,-124.508523,disk,
35979,haverhill,Historical account&#44 Haverhill MA,us,9/2/2005,4/1/1953 15:00,seconds,2,42.7761111,-71.07777779999999,chevron,ma
35980,cambridge,Two red-orange lights skirted Boston rooftops in opposite directions&#44 then went over my dormitory in tandem.,us,7/14/2013,4/1/1953 18:00,3 minutes,180,42.375,-71.10611109999999,sphere,ma
35981,stanford campus,Civil Defense plane spotter  reports UFO sighting at Stanford University,,7/1/2002,4/1/1954 22:00,10 minutes,600,37.427475,-122.169719,disk,ca
35982,miami,1959 childhood encounter with a spherical&#44 faceted object&#44 that had landed in my back yard in Miami.,us,2/14/2008,4/1/1959 01:00,30-45 minutes,2700,25.7738889,-80.1938889,sphere,fl
36769,saanich (canada),THREE DISCS.IN TRIANGULAR FORMATION TRAVELING SW. AT APROX. 30 DEG.HORIZON FASTER THAN PROP.AIRCRAFT.THE DAY WAS CLEAR AND THE TIME WAS,,8/1/2003,4/15/1944 17:00,2  min est.,120,48.459263,-123.376722,disk,bc
36770,miami (north of),A GLOWING METALLIC OBJECT OF HUGE SIZE OVER THE ATLANTIC HEADING NORTH&#44 BEFORE ROSWELL.,us,1/10/2009,4/15/1947 14:00,5-7 min,420,25.7738889,-80.1938889,other,fl
36771,san deigo,The craft was V shaped with an arodinamic  body the thrust was in the form of the spectrum.,,7/25/2004,4/15/1947 23:00,10 &#44seconds,10,32.715738,-117.161084,triangle,ca
36772,arkansas (eastern; on us hwy 70 abt 75 m w/o memphis&#44 tn),Disk shaped unmoving over highway for 1-3 minutes in eastern Arkansas&#44 est. size about 200 feet.,,12/16/2005,4/15/1950 08:00,1-3 minutes,180,35.20105,-91.83183299999999,disk,ar
36773,waynesborough,Fishburne Military School:  9 students witness saucer-shaped object from ROTC Drill Field in 1950.,,11/19/2012,4/15/1950 14:00,5 minutes,300,38.068469,-78.88946800000001,disk,va
36774,chicago,HBCCUFO CANADIAN REPORT:  1952 metallic&#44 silver round or saucer shape object.,us,7/23/2003,4/15/1952 13:00,approx: 45 minutes,2700,41.85,-87.65,disk,il
36775,greenville,-SAW TWO SMALL 3-4 FOOT TRIANGULAR SHAPED DULL METALIC OBJECTS BELOW THE CLOUDS MOVING IN A SYNCRONIZED MANNER  ROLLING END OVER END AN,us,8/4/2003,4/15/1952 16:00,1-2 minutes,120,33.1383333,-96.1105556,triangle,tx
36776,los angeles,Green fireball traveling north at a low altitude over Los Angeles,us,12/14/2004,4/15/1953 12:00,5 seconds,5,34.0522222,-118.2427778,fireball,ca
36777,midwest city,Ball of yellow light with dancing spikes of light&#44 around the circumference-one of the spikes reached out to  me.,us,4/27/2004,4/15/1953 16:00,15 min,900,35.4494444,-97.3963889,fireball,ok
36778,mendham,A saucer-shaped UFO hovered at eye-level about fifty feet away for five minutes&#44 then took off at great speed.,us,1/31/2004,4/15/1959 21:00,five minutes,300,40.7758333,-74.6011111,disk,nj
37331,winooski,more on the 1958 &quot;fireball&quot; in Winooski sky in case you didn&#39t recieve the PDF file I sent of the newspaper clippings.,us,4/16/2005,4/17/1958 21:30,1 &amp; 1/2 hours,300,44.4913889,-73.18611109999999,oval,vt
37332,winooski,object hovered&#44 landed then left headed north traveling at 60Kmph&#44 being tracked across USA by several radar sites.,us,2/22/2005,4/17/1958 21:30,1 hr 30 min,5400,44.4913889,-73.18611109999999,oval,vt
37517,new york worlds fair,The object seemed to be a lighted amorphous cloud-like shape.,,4/16/2005,4/18/1933 19:00,30 mins.,1800,40.759941,-73.849168,light,ny
38258,clovis,Saw UFO in 1944 over an airbase in New Mexico&#44 not very far from&#44 Roswell.,us,4/16/2005,4/2/1944 11:00,1:30,90,34.4047222,-103.2047222,disk,nm
38954,atlantic ocean (troopship/ uss rose),An object that looked like a star until it moved.,,4/2/1999,4/25/1958 19:00,1/hour,60,-14.599413,-28.673146999999997,unknown,
39126,baden,Report from the past - Orangish saucer shaped with black rotating center,us,2/18/2001,4/26/1959 19:00,15 min,900,40.635,-80.2283333,cylinder,pa
39809,bering sea,1943 sighting of four linearly arranged red lights in Bearing Sea,,3/19/2009,4/30/1943 23:00,1 hour,3600,59.670367,-139.859082,other,ak
39810,jamison,In the spring of 1953 my mother &amp; I saw an IMMENSE silent grey metallic cigar shaped object moving from Doylestown toward Jamison.,us,12/23/2002,4/30/1953 16:00,several minutes,120,40.2547222,-75.08972220000001,cigar,pa
40275,france (above; from aircraft),((NUFORC Note:  Possible hoax.  PD))  Saw 3 cigar shaped crafts.,,3/9/2004,4/5/1916 13:00,about 1 min.,60,46.227638,2.213749,cigar,
41142,scipio,Round red glowing ball going west in Northern sky.,us,4/16/2005,5/10/1948 19:00,10 seconds,10,39.0791667,-85.7175,sphere,in
41489,oak ridge (drive),log shape whooshing object observed near charleston w.v.,us,3/19/2002,5/1/1949 14:00,40seconds,40,38.075,-81.10972220000001,other,wv
41490,holbrook,I turned around and over the trees was a large yellow object shaped like a football without the tips on the ends.,us,4/16/2005,5/1/1955 15:00,1 minute,60,42.155,-71.00916670000001,egg,ma
41491,canton,At first the silver disc was stationary. As it moved across the sky&#44 it moved so rapidly&#44 it could not have been man made.,us,9/15/2005,5/1/1956 12:00,2 minutes,120,40.7988889,-81.37861109999999,cigar,oh
41492,canton,Cigar shaped object is motionless for more than a minute&#44 then moves west at incomprhensible speed&#44 then out of sight.,us,4/27/2004,5/1/1957 12:00,3 minutes,180,40.7988889,-81.37861109999999,cigar,oh
41493,columbus,Red-orange lights over seen motionless over Lockborne AFB-one vanished and one sped out of sight.,us,2/22/2002,5/1/1959 18:30,2-3 min,180,39.9611111,-82.99888890000001,light,oh
42287,grays,I am not sure of the exact date or time of this event but it took place in the early morning hours somtime in the late 40&#39s to early 50,us,10/31/2003,5/15/1949 06:30,2-5 min.,300,32.6736111,-81.0205556,light,sc
42288,allyn,Close encounter involving physical examination in unknown craft.,us,8/16/2002,5/15/1952 20:00,3 hrs.,10800,47.3858333,-122.8263889,disk,wa
42289,toronto (canada),3 discs in formation flipping into clouds and descending  out of them.,ca,12/19/2003,5/15/1953 16:00,20-30 sec,30,43.666667,-79.416667,disk,on
42290,corvallis (near; small town of alsea),Disc top&#44 or bottom to our view following&#44 west to east&#44 a 4 engine (prop) maybe a Tri Star (three rudders) About 1/2 way across our vi,us,1/28/1999,5/15/1954 12:00,1-2 mins.,120,44.5647222,-123.26083329999999,diamond,or
42291,warrington,fireball into pensacola bay,us,2/1/2007,5/15/1955 03:00,5 minutes,300,30.3838889,-87.275,fireball,fl
42292,pine castle afb,A large white light travelling slow and then at a great speed from low to great height in seconds no sound,,4/16/2005,5/15/1956 20:00,45 min,2700,28.189909,-80.60054699999999,light,fl
42293,atlantic ocean (off africa),While flying night navigational mission. We picked up a target on radar flying from east to west. Navigator clocked target flying at 50,,6/18/2004,5/15/1957 02:00,0:30,30,-14.599413,-28.673146999999997,unknown,
42294,evanston,Distant craft in the same part of the sky for 3 nights&#44 seen by a group,us,10/31/2003,5/15/1959 04:00,20 minutes,1200,42.0411111,-87.69,unknown,il
42696,cincinnati,5/16/1958/ 1500 hours/ just getting dark&#44mount arity forest,us,5/15/2006,5/16/1958 24:00,24 hours,86400,39.1619444,-84.4569444,diamond,oh
